V1,V2,V3
-12,44.009615384,-4918
-11.9320388349515,44.009615384,-4922
-11.8640776699029,44.009615384,-4932
-11.7961165048544,44.009615384,-4997
-11.7281553398058,44.009615384,-5017
-11.6601941747573,44.009615384,-5023
-11.5922330097087,44.009615384,-5022
-11.5242718446602,44.009615384,-5018
-11.4563106796117,44.009615384,-5023
-11.3883495145631,44.009615384,-5038
-11.3203883495146,44.009615384,-5023
-11.252427184466,44.009615384,-5007
-11.1844660194175,44.009615384,-5004
-11.1165048543689,44.009615384,-5003
-11.0485436893204,44.009615384,-4998
-10.9805825242718,44.009615384,-4978
-10.9126213592233,44.009615384,-4984
-10.8446601941748,44.009615384,-4984
-10.7766990291262,44.009615384,-4959
-10.7087378640777,44.009615384,-4946
-10.6407766990291,44.009615384,-4963
-10.5728155339806,44.009615384,-4977
-10.504854368932,44.009615384,-4980
-10.4368932038835,44.009615384,-4975
-10.368932038835,44.009615384,-4978
-10.3009708737864,44.009615384,-4968
-10.2330097087379,44.009615384,-4952
-10.1650485436893,44.009615384,-4889
-10.0970873786408,44.009615384,-4852
-10.0291262135922,44.009615384,-4910
-9.96116504854369,44.009615384,-4849
-9.89320388349515,44.009615384,-4652
-9.8252427184466,44.009615384,-4330
-9.75728155339806,44.009615384,-4005
-9.68932038834951,44.009615384,-3698
-9.62135922330097,44.009615384,-3424
-9.55339805825243,44.009615384,-3225
-9.48543689320388,44.009615384,-3252
-9.41747572815534,44.009615384,-3411
-9.3495145631068,44.009615384,-3148
-9.28155339805825,44.009615384,-2439
-9.21359223300971,44.009615384,-2005
-9.14563106796117,44.009615384,-1753
-9.07766990291262,44.009615384,-1521
-9.00970873786408,44.009615384,-1339
-8.94174757281553,44.009615384,-1071
-8.87378640776699,44.009615384,-760
-8.80582524271845,44.009615384,-631
-8.7378640776699,44.009615384,-515
-8.66990291262136,44.009615384,-423
-8.60194174757282,44.009615384,-383
-8.53398058252427,44.009615384,-424
-8.46601941747573,44.009615384,-418
-8.39805825242718,44.009615384,-311
-8.33009708737864,44.009615384,-215
-8.2621359223301,44.009615384,-200
-8.19417475728155,44.009615384,-188
-8.12621359223301,44.009615384,-201
-8.05825242718447,44.009615384,-212
-7.99029126213592,44.009615384,-189
-7.92233009708738,44.009615384,-164
-7.85436893203884,44.009615384,-142
-7.78640776699029,44.009615384,-99
-7.71844660194175,44.009615384,-100
-7.6504854368932,44.009615384,-89
-7.58252427184466,44.009615384,-48
-7.51456310679612,44.009615384,-34
-7.44660194174757,44.009615384,-39
-7.37864077669903,44.009615384,-54
-7.31067961165049,44.009615384,-27
-7.24271844660194,44.009615384,-13
-7.1747572815534,44.009615384,-35
-7.10679611650485,44.009615384,-83
-7.03883495145631,44.009615384,-91
-6.97087378640777,44.009615384,-73
-6.90291262135922,44.009615384,-62
-6.83495145631068,44.009615384,-167
-6.76699029126214,44.009615384,-295
-6.69902912621359,44.009615384,-402
-6.63106796116505,44.009615384,-377
-6.56310679611651,44.009615384,-586
-6.49514563106796,44.009615384,-1105
-6.42718446601942,44.009615384,-1468
-6.35922330097087,44.009615384,-1746
-6.29126213592233,44.009615384,-1886
-6.22330097087379,44.009615384,-1754
-6.15533980582524,44.009615384,-1640
-6.0873786407767,44.009615384,-1527
-6.01941747572816,44.009615384,-1267
-5.95145631067961,44.009615384,-1089
-5.88349514563107,44.009615384,-1042
-5.81553398058252,44.009615384,-913
-5.74757281553398,44.009615384,-650
-5.67961165048544,44.009615384,-392
-5.61165048543689,44.009615384,-388
-5.54368932038835,44.009615384,-633
-5.47572815533981,44.009615384,-862
-5.40776699029126,44.009615384,-854
-5.33980582524272,44.009615384,-866
-5.27184466019417,44.009615384,-994
-5.20388349514563,44.009615384,-963
-5.13592233009709,44.009615384,-918
-5.06796116504854,44.009615384,-899
-5,44.009615384,-765
-12,43.9418016188195,-4888
-11.9320388349515,43.9418016188195,-4949
-11.8640776699029,43.9418016188195,-4987
-11.7961165048544,43.9418016188195,-5022
-11.7281553398058,43.9418016188195,-5043
-11.6601941747573,43.9418016188195,-5035
-11.5922330097087,43.9418016188195,-5021
-11.5242718446602,43.9418016188195,-5020
-11.4563106796117,43.9418016188195,-5039
-11.3883495145631,43.9418016188195,-5045
-11.3203883495146,43.9418016188195,-5020
-11.252427184466,43.9418016188195,-5007
-11.1844660194175,43.9418016188195,-5005
-11.1165048543689,43.9418016188195,-5003
-11.0485436893204,43.9418016188195,-4995
-10.9805825242718,43.9418016188195,-5003
-10.9126213592233,43.9418016188195,-5025
-10.8446601941748,43.9418016188195,-5006
-10.7766990291262,43.9418016188195,-4980
-10.7087378640777,43.9418016188195,-4981
-10.6407766990291,43.9418016188195,-4988
-10.5728155339806,43.9418016188195,-4978
-10.504854368932,43.9418016188195,-4974
-10.4368932038835,43.9418016188195,-4966
-10.368932038835,43.9418016188195,-4947
-10.3009708737864,43.9418016188195,-4830
-10.2330097087379,43.9418016188195,-4661
-10.1650485436893,43.9418016188195,-4406
-10.0970873786408,43.9418016188195,-4318
-10.0291262135922,43.9418016188195,-4461
-9.96116504854369,43.9418016188195,-4219
-9.89320388349515,43.9418016188195,-3903
-9.8252427184466,43.9418016188195,-3646
-9.75728155339806,43.9418016188195,-3308
-9.68932038834951,43.9418016188195,-2985
-9.62135922330097,43.9418016188195,-2717
-9.55339805825243,43.9418016188195,-2649
-9.48543689320388,43.9418016188195,-2744
-9.41747572815534,43.9418016188195,-2863
-9.3495145631068,43.9418016188195,-2854
-9.28155339805825,43.9418016188195,-2318
-9.21359223300971,43.9418016188195,-2004
-9.14563106796117,43.9418016188195,-1629
-9.07766990291262,43.9418016188195,-1380
-9.00970873786408,43.9418016188195,-1085
-8.94174757281553,43.9418016188195,-873
-8.87378640776699,43.9418016188195,-677
-8.80582524271845,43.9418016188195,-533
-8.7378640776699,43.9418016188195,-456
-8.66990291262136,43.9418016188195,-385
-8.60194174757282,43.9418016188195,-345
-8.53398058252427,43.9418016188195,-363
-8.46601941747573,43.9418016188195,-339
-8.39805825242718,43.9418016188195,-260
-8.33009708737864,43.9418016188195,-187
-8.2621359223301,43.9418016188195,-180
-8.19417475728155,43.9418016188195,-184
-8.12621359223301,43.9418016188195,-177
-8.05825242718447,43.9418016188195,-159
-7.99029126213592,43.9418016188195,-147
-7.92233009708738,43.9418016188195,-68
-7.85436893203884,43.9418016188195,-36
-7.78640776699029,43.9418016188195,-22
-7.71844660194175,43.9418016188195,-15
-7.6504854368932,43.9418016188195,-15
-7.58252427184466,43.9418016188195,-20
-7.51456310679612,43.9418016188195,-17
-7.44660194174757,43.9418016188195,-14
-7.37864077669903,43.9418016188195,-43
-7.31067961165049,43.9418016188195,-23
-7.24271844660194,43.9418016188195,-17
-7.1747572815534,43.9418016188195,-17
-7.10679611650485,43.9418016188195,-12
-7.03883495145631,43.9418016188195,-11
-6.97087378640777,43.9418016188195,-15
-6.90291262135922,43.9418016188195,-53
-6.83495145631068,43.9418016188195,-99
-6.76699029126214,43.9418016188195,-85
-6.69902912621359,43.9418016188195,-68
-6.63106796116505,43.9418016188195,-40
-6.56310679611651,43.9418016188195,-133
-6.49514563106796,43.9418016188195,-337
-6.42718446601942,43.9418016188195,-579
-6.35922330097087,43.9418016188195,-840
-6.29126213592233,43.9418016188195,-725
-6.22330097087379,43.9418016188195,-592
-6.15533980582524,43.9418016188195,-468
-6.0873786407767,43.9418016188195,-408
-6.01941747572816,43.9418016188195,-247
-5.95145631067961,43.9418016188195,-397
-5.88349514563107,43.9418016188195,-418
-5.81553398058252,43.9418016188195,-344
-5.74757281553398,43.9418016188195,-339
