V1,V2,V3
-39.1741071428571,-5,306
-39.1071428571429,-5,227
-39.0401785714286,-5,205
-38.9732142857143,-5,194
-38.90625,-5,187
-38.8392857142857,-5,167
-38.7723214285714,-5,173
-38.7053571428571,-5,189
-38.6383928571429,-5,189
-38.5714285714286,-5,155
-38.5044642857143,-5,129
-38.4375,-5,105
-38.3705357142857,-5,101
-38.3035714285714,-5,100
-38.2366071428571,-5,87
-38.1696428571429,-5,72
-38.1026785714286,-5,77
-38.0357142857143,-5,71
-37.96875,-5,23
-37.9017857142857,-5,22
-37.8348214285714,-5,56
-37.7678571428571,-5,100
-37.7008928571429,-5,106
-37.6339285714286,-5,74
-37.5669642857143,-5,56
-37.5,-5,65
-37.4330357142857,-5,67
-37.3660714285714,-5,42
-37.2991071428571,-5,25
-37.2321428571429,-5,26
-37.1651785714286,-5,-6
-37.0982142857143,-5,9
-37.03125,-5,61
-36.9642857142857,-5,117
-36.8973214285714,-5,93
-36.8303571428571,-5,16
-36.7633928571429,-5,-4
-36.6964285714286,-5,-4
-36.6294642857143,-5,-5
-36.5625,-5,-5
-36.4955357142857,-5,-5
-36.4285714285714,-5,-6
-36.3616071428571,-5,-7
-36.2946428571429,-5,-7
-36.2276785714286,-5,-7
-36.1607142857143,-5,-5
-36.09375,-5,-7
-36.0267857142857,-5,-8
-35.9598214285714,-5,-8
-35.8928571428571,-5,-8
-35.8258928571429,-5,-6
-35.7589285714286,-5,-6
-35.6919642857143,-5,-9
-35.625,-5,-12
-35.5580357142857,-5,-14
-35.4910714285714,-5,-15
-35.4241071428571,-5,-18
-35.3571428571429,-5,-21
-35.2901785714286,-5,-25
-35.2232142857143,-5,-30
-35.15625,-5,-37
-35.0892857142857,-5,-51
-35.0223214285714,-5,-315
-34.9553571428571,-5,-679
-34.8883928571429,-5,-817
-34.8214285714286,-5,-909
-34.7544642857143,-5,-1218
-34.6875,-5,-2528
-34.6205357142857,-5,-3488
-34.5535714285714,-5,-3641
-34.4866071428571,-5,-3702
-34.4196428571429,-5,-3832
-34.3526785714286,-5,-3901
-34.2857142857143,-5,-3942
-34.21875,-5,-3948
-34.1517857142857,-5,-3724
-34.0848214285714,-5,-3781
-34.0178571428571,-5,-4038
-33.9508928571429,-5,-4130
-33.8839285714286,-5,-4177
-33.8169642857143,-5,-4373
-33.75,-5,-4495
-33.6830357142857,-5,-4455
-33.6160714285714,-5,-4408
-33.5491071428571,-5,-4397
-33.4821428571429,-5,-4449
-33.4151785714286,-5,-4503
-33.3482142857143,-5,-4453
-33.28125,-5,-4433
-33.2142857142857,-5,-4467
-33.1473214285714,-5,-4507
-33.0803571428571,-5,-4510
-33.0133928571429,-5,-4517
-32.9464285714286,-5,-4515
-32.8794642857143,-5,-4512
-32.8125,-5,-4527
-32.7455357142857,-5,-4531
-32.6785714285714,-5,-4532
-32.6116071428571,-5,-4560
-32.5446428571429,-5,-4569
-32.4776785714286,-5,-4521
-32.4107142857143,-5,-4498
-32.34375,-5,-4477
-32.2767857142857,-5,-4528
-32.2098214285714,-5,-4548
-32.1428571428571,-5,-4526
-32.0758928571429,-5,-4543
-32.0089285714286,-5,-4550
-31.9419642857143,-5,-4561
-31.875,-5,-4588
-31.8080357142857,-5,-4617
-31.7410714285714,-5,-4646
-31.6741071428571,-5,-4673
-31.6071428571429,-5,-4678
-31.5401785714286,-5,-4687
-31.4732142857143,-5,-4706
-31.40625,-5,-4738
-31.3392857142857,-5,-4770
-31.2723214285714,-5,-4806
-31.2053571428571,-5,-4835
-31.1383928571429,-5,-4844
-31.0714285714286,-5,-4843
-31.0044642857143,-5,-4847
-30.9375,-5,-4832
-30.8705357142857,-5,-4865
-30.8035714285714,-5,-4921
-30.7366071428571,-5,-5000
-30.6696428571429,-5,-5014
-30.6026785714286,-5,-4817
-30.5357142857143,-5,-4459
-30.46875,-5,-4357
-30.4017857142857,-5,-4815
-30.3348214285714,-5,-4998
-30.2678571428571,-5,-4965
-30.2008928571429,-5,-4958
-30.1339285714286,-5,-4976
-30.0669642857143,-5,-4986
-30,-5,-5008
-45,-5.06696428571429,103
-44.9330357142857,-5.06696428571429,113
-44.8660714285714,-5.06696428571429,155
-44.7991071428571,-5.06696428571429,136
-44.7321428571429,-5.06696428571429,115
-44.6651785714286,-5.06696428571429,79
-44.5982142857143,-5.06696428571429,80
-44.53125,-5.06696428571429,133
-44.4642857142857,-5.06696428571429,163
-44.3973214285714,-5.06696428571429,164
-44.3303571428571,-5.06696428571429,164
-44.2633928571429,-5.06696428571429,132
-44.1964285714286,-5.06696428571429,104
-44.1294642857143,-5.06696428571429,135
-44.0625,-5.06696428571429,146
-43.9955357142857,-5.06696428571429,164
-43.9285714285714,-5.06696428571429,141
-43.8616071428571,-5.06696428571429,147
-43.7946428571429,-5.06696428571429,140
-43.7276785714286,-5.06696428571429,128
-43.6607142857143,-5.06696428571429,132
-43.59375,-5.06696428571429,148
-43.5267857142857,-5.06696428571429,108
-43.4598214285714,-5.06696428571429,91
-43.3928571428571,-5.06696428571429,114
