V1,V2,V3
-8,50,-116.4375
-7.98329853862213,50,-119.247497558594
-7.96659707724426,50,-117.127502441406
-7.94989561586639,50,-117.497497558594
-7.93319415448852,50,-117.377502441406
-7.91649269311065,50,-117.557502746582
-7.89979123173278,50,-115.057502746582
-7.88308977035491,50,-108.877502441406
-7.86638830897704,50,-103.182502746582
-7.84968684759917,50,-105.872497558594
-7.83298538622129,50,-110.252502441406
-7.81628392484342,50,-114.022499084473
-7.79958246346555,50,-115.972503662109
-7.78288100208768,50,-116.252502441406
-7.76617954070981,50,-118.372497558594
-7.74947807933194,50,-116.682502746582
-7.73277661795407,50,-115.8125
-7.7160751565762,50,-116.002502441406
-7.69937369519833,50,-115.252502441406
-7.68267223382046,50,-112.8125
-7.66597077244259,50,-111.682502746582
-7.64926931106472,50,-113.0625
-7.63256784968685,50,-115.502502441406
-7.61586638830898,50,-116.122497558594
-7.59916492693111,50,-116.4375
-7.58246346555324,50,-116.747497558594
-7.56576200417537,50,-117.377502441406
-7.5490605427975,50,-117.807502746582
-7.53235908141962,50,-116.997497558594
-7.51565762004175,50,-113.747497558594
-7.49895615866388,50,-113.4375
-7.48225469728601,50,-113.4375
-7.46555323590814,50,-113
-7.44885177453027,50,-112.190002441406
-7.4321503131524,50,-112.120002746582
-7.41544885177453,50,-111.940002441406
-7.39874739039666,50,-111.559997558594
-7.38204592901879,50,-110.940002441406
-7.36534446764092,50,-110.620002746582
-7.34864300626305,50,-111.559997558594
-7.33194154488518,50,-112.059997558594
-7.31524008350731,50,-111.120002746582
-7.29853862212944,50,-108.809997558594
-7.28183716075157,50,-108.940002441406
-7.2651356993737,50,-109.5
-7.24843423799582,50,-108.440002441406
-7.23173277661795,50,-108.25
-7.21503131524008,50,-108.809997558594
-7.19832985386221,50,-108.870002746582
-7.18162839248434,50,-107.809997558594
-7.16492693110647,50,-107.809997558594
-7.1482254697286,50,-108.5
-7.13152400835073,50,-108.809997558594
-7.11482254697286,50,-107.440002441406
-7.09812108559499,50,-106.940002441406
-7.08141962421712,50,-108.529998779297
-7.06471816283925,50,-108.178504943848
-7.04801670146138,50,-107.998512268066
-7.03131524008351,50,-107.988510131836
-7.01461377870564,50,-107.988510131836
-6.99791231732777,50,-107.998512268066
-6.9812108559499,50,-108.098510742188
-6.96450939457203,50,-107.878509521484
-6.94780793319415,50,-107.79850769043
-6.93110647181628,50,-106.668594360352
-6.91440501043841,50,-105.158592224121
-6.89770354906054,50,-103.928588867188
-6.88100208768267,50,-103.008590698242
-6.8643006263048,50,-102.408592224121
-6.84759916492693,50,-103.478591918945
-6.83089770354906,50,-104.098594665527
-6.81419624217119,50,-103.608589172363
-6.79749478079332,50,-103.012962341309
-6.78079331941545,50,-102.402961730957
-6.76409185803758,50,-101.652961730957
-6.74739039665971,50,-101.002960205078
-6.73068893528184,50,-100.552963256836
-6.71398747390397,50,-100.012962341309
-6.6972860125261,50,-99.1129608154297
-6.68058455114823,50,-98.7029647827148
-6.66388308977035,50,-97.9650344848633
-6.64718162839248,50,-97.4250335693359
-6.63048016701461,50,-96.2050323486328
-6.61377870563674,50,-94.9650344848633
-6.59707724425887,50,-93.9350357055664
-6.580375782881,50,-92.545036315918
-6.56367432150313,50,-90.6650314331055
-6.54697286012526,50,-89.6350326538086
-6.53027139874739,50,-89.4106674194336
-6.51356993736952,50,-89.1006698608398
-6.49686847599165,50,-89.0106658935547
-6.48016701461378,50,-88.8906707763672
-6.46346555323591,50,-88.3106689453125
-6.44676409185804,50,-87.2906646728516
-6.43006263048017,50,-85.7206649780273
-6.4133611691023,50,-82.3906707763672
-6.39665970772443,50,-76.4362258911133
-6.37995824634656,50,-71.0562286376953
-6.36325678496869,50,-73.4762268066406
-6.34655532359081,50,-76.9362258911133
-6.32985386221294,50,-77.4862289428711
-6.31315240083507,50,-75.4062271118164
-6.2964509394572,50,-71.6062316894531
-6.27974947807933,50,-74.8462295532227
-6.26304801670146,50,-75.314567565918
-6.24634655532359,50,-75.6645660400391
-6.22964509394572,50,-74.5445709228516
-6.21294363256785,50,-65.8045654296875
-6.19624217118998,50,-60.7745666503906
-6.17954070981211,50,-62.5345687866211
-6.16283924843424,50,-71.3945693969727
-6.14613778705637,50,-72.2445678710938
-6.1294363256785,50,-70.1928787231445
-6.11273486430063,50,-67.702880859375
-6.09603340292276,50,-71.7828826904297
-6.07933194154489,50,-70.5028762817383
-6.06263048016702,50,-70.072883605957
-6.04592901878914,50,-69.8428802490234
-6.02922755741127,50,-69.0128784179688
-6.0125260960334,50,-68.6328811645508
-5.99582463465553,50,-67.4925308227539
-5.97912317327766,50,-64.5625305175781
-5.96242171189979,50,-62.7925300598145
-5.94572025052192,50,-62.4825286865234
-5.92901878914405,50,-62.3325309753418
-5.91231732776618,50,-62.5825309753418
-5.89561586638831,50,-63.152530670166
-5.87891440501044,50,-64.5125274658203
-5.86221294363257,50,-65.0694351196289
-5.8455114822547,50,-65.3994369506836
-5.82881002087683,50,-65.0594329833984
-5.81210855949896,50,-65.6994323730469
-5.79540709812109,50,-65.9994354248047
-5.77870563674322,50,-66.1094360351562
-5.76200417536534,50,-65.5994338989258
-5.74530271398747,50,-64.1894378662109
-5.7286012526096,50,-63.613037109375
-5.71189979123173,50,-62.1830368041992
-5.69519832985386,50,-64.0330352783203
-5.67849686847599,50,-64.1030349731445
-5.66179540709812,50,-64.1430358886719
-5.64509394572025,50,-63.7830352783203
-5.62839248434238,50,-62.9930381774902
-5.61169102296451,50,-62.1330375671387
-5.59498956158664,50,-61.3670768737793
-5.57828810020877,50,-59.3470764160156
-5.5615866388309,50,-55.5570755004883
-5.54488517745303,50,-53.7370758056641
-5.52818371607516,50,-52.0870742797852
-5.51148225469729,50,-52.7670745849609
-5.49478079331942,50,-53.4870758056641
-5.47807933194155,50,-52.9670753479004
-5.46137787056368,50,-52.9762763977051
-5.4446764091858,50,-52.6662788391113
-5.42797494780793,50,-52.1662788391113
-5.41127348643006,50,-50.5762786865234
-5.39457202505219,50,-48.4862785339355
-5.37787056367432,50,-46.9262771606445
-5.36116910229645,50,-44.8062782287598
-5.34446764091858,50,-41.626277923584
-5.32776617954071,50,-39.4739837646484
-5.31106471816284,50,-37.4939842224121
-5.29436325678497,50,-35.3439865112305
-5.2776617954071,50,-31.563985824585
-5.26096033402923,50,7.97601461410522
-5.24425887265136,50,72.8460159301758
-5.22755741127349,50,81.0860137939453
-5.21085594989562,50,79.4760131835938
-5.19415448851775,50,64.6447448730469
-5.17745302713988,50,26.264741897583
-5.160751565762,50,-13.9552574157715
-5.14405010438413,50,-23.6352577209473
-5.12734864300626,50,-32.5152587890625
-5.11064718162839,50,-37.1252593994141
-5.09394572025052,50,-45.1952590942383
-5.07724425887265,50,-62.4052581787109
-5.06054279749478,50,-69.1710205078125
-5.04384133611691,50,-71.6010208129883
-5.02713987473904,50,-72.1910247802734
-5.01043841336117,50,-72.4110260009766
-4.9937369519833,50,-72.3710250854492
-4.97703549060543,50,-72.3410186767578
-4.96033402922756,50,-72.4810256958008
-4.94363256784969,50,-72.7810211181641
-4.92693110647182,50,-73.4369430541992
-4.91022964509395,50,-74.1069412231445
-4.89352818371608,50,-74.9569396972656
-4.8768267223382,50,-74.8069458007812
-4.86012526096033,50,-74.8769454956055
-4.84342379958246,50,-74.8569412231445
-4.82672233820459,50,-74.8469390869141
-4.81002087682672,50,-74.4669418334961
-4.79331941544885,50,-74.1346206665039
-4.77661795407098,50,-73.9346237182617
-4.75991649269311,50,-74.0446243286133
-4.74321503131524,50,-74.2446212768555
-4.72651356993737,50,-74.5646209716797
-4.7098121085595,50,-74.8046264648438
-4.69311064718163,50,-75.9146270751953
-4.67640918580376,50,-74.5446243286133
-4.65970772442589,50,-74.0192337036133
-4.64300626304802,50,-73.6492309570312
-4.62630480167015,50,-73.6592330932617
-4.60960334029228,50,-73.6892318725586
-4.59290187891441,50,-73.849235534668
-4.57620041753654,50,-73.849235534668
-4.55949895615866,50,-73.7992324829102
-4.54279749478079,50,-73.9392318725586
-4.52609603340292,50,-74.0246963500977
-4.50939457202505,50,-73.9246978759766
-4.49269311064718,50,-73.7046966552734
-4.47599164926931,50,-73.6147003173828
-4.45929018789144,50,-73.4846954345703
-4.44258872651357,50,-73.3647003173828
-4.4258872651357,50,-73.3347015380859
-4.40918580375783,50,-73.3846969604492
-4.39248434237996,50,-73.3160705566406
-4.37578288100209,50,-73.2660675048828
-4.35908141962422,50,-72.966064453125
-4.34237995824635,50,-72.586067199707
-4.32567849686848,50,-72.2660675048828
-4.30897703549061,50,-72.216064453125
-4.29227557411274,50,-72.4060668945312
-4.27557411273486,50,-72.3960647583008
-4.25887265135699,50,-72.648681640625
-4.24217118997912,50,-72.028678894043
-4.22546972860125,50,-71.4086761474609
-4.20876826722338,50,-71.4786834716797
-4.19206680584551,50,-71.8086776733398
-4.17536534446764,50,-71.7686767578125
-4.15866388308977,50,-71.7986831665039
-4.1419624217119,50,-71.5086822509766
-4.12526096033403,50,-71.3216934204102
-4.10855949895616,50,-71.2316970825195
-4.09185803757829,50,-71.1816940307617
-4.07515657620042,50,-70.9716949462891
-4.05845511482255,50,-70.8916931152344
-4.04175365344468,50,-70.851692199707
-4.02505219206681,50,-70.8116912841797
-4.00835073068894,50,-71.3916931152344
-3.99164926931106,50,-70.9411392211914
-3.97494780793319,50,-70.6511383056641
-3.95824634655532,50,-70.5811386108398
-3.94154488517745,50,-70.5611343383789
-3.92484342379958,50,-70.9211349487305
-3.90814196242171,50,-70.8411331176758
-3.89144050104384,50,-70.4911346435547
-3.87473903966597,50,-69.6311340332031
-3.8580375782881,50,-69.2613143920898
-3.84133611691023,50,-69.4413146972656
-3.82463465553236,50,-69.4413146972656
-3.80793319415449,50,-69.2013168334961
-3.79123173277662,50,-68.9713134765625
-3.77453027139875,50,-68.851318359375
-3.75782881002088,50,-69.0913162231445
-3.74112734864301,50,-69.0613174438477
-3.72442588726514,50,-68.6903610229492
-3.70772442588727,50,-68.5803604125977
-3.6910229645094,50,-68.7103652954102
-3.67432150313152,50,-69.3903656005859
-3.65762004175365,50,-68.9803619384766
-3.64091858037578,50,-68.2703628540039
-3.62421711899791,50,-68.2003631591797
-3.60751565762004,50,-68.6503601074219
-3.59081419624217,50,-68.8909683227539
-3.5741127348643,50,-68.9809722900391
-3.55741127348643,50,-68.9009704589844
-3.54070981210856,50,-68.9609756469727
-3.52400835073069,50,-68.2809753417969
-3.50730688935282,50,-67.9909744262695
